lexique	number	color	forbes
rotin	1	marron	wooden
rouille	1	marron	miscellaneous
sac	1	brun	clothes
sac	8	marron	clothes
saleté	1	marron	miscellaneous
sanglier	1	marron	animals
sauce	1	brun	food
singe	1	brun	animals
sourcil	1	brun	other_physical_attributes
sucre	2	brun	food
tabac	10	brun	tobacco
table	1	brun	wooden
tache	1	brun	miscellaneous
tache	1	marron	miscellaneous
tapis	1	marron	miscellaneous
tapisserie	1	marron	miscellaneous
taupe	1	marron	animals
teint	4	brun	other_physical_attributes
teinture	5	brun	miscellaneous
terre	15	brun	earth
terre	79	marron	earth
tête	1	brun	other_physical_attributes
thé	1	marron	food
tissu	3	brun	miscellaneous
tissu	4	marron	miscellaneous
tronc	5	brun	trees
tronc	34	marron	trees
vache	3	brun	animals
vache	3	marron	animals
valise	1	marron	miscellaneous
vernis a ongle	1	brun	miscellaneous
verre	1	marron	miscellaneous
veste	3	marron	clothes
vêtement	3	brun	clothes
vêtement	9	marron	clothes
voiture	1	marron	miscellaneous
volet	1	brun	wooden
volet	1	marron	wooden
yeux	34	brun	eyes
yeux	42	marron	eyes
